,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
51,0,ICU model (LG+imputed),False,0,0.51,0,0.5,0.7,0.0,1.0,0.0,0.0
52,0,ICU model (LG+imputed),False,0,0.52,0,0.5,0.7,0.0,1.0,0.0,0.0
53,0,ICU model (LG+imputed),False,0,0.53,0,0.5,0.7,0.0,1.0,0.0,0.0
54,0,ICU model (LG+imputed),False,0,0.54,0,0.5,0.7,0.0,1.0,0.0,0.0
55,0,ICU model (LG+imputed),False,0,0.55,0,0.5,0.7,0.0,1.0,0.0,0.0
56,0,ICU model (LG+imputed),False,0,0.56,0,0.5,0.7,0.0,1.0,0.0,0.0
57,0,ICU model (LG+imputed),False,0,0.5700000000000001,0,0.5,0.7,0.0,1.0,0.0,0.0
58,0,ICU model (LG+imputed),False,0,0.58,0,0.5,0.7,0.0,1.0,0.0,0.0
59,0,ICU model (LG+imputed),False,0,0.59,0,0.5,0.7,0.0,1.0,0.0,0.0
60,0,ICU model (LG+imputed),False,0,0.6,0,0.5,0.7,0.0,1.0,0.0,0.0
61,0,ICU model (LG+imputed),False,0,0.61,0,0.5,0.7,0.0,1.0,0.0,0.0
62,0,ICU model (LG+imputed),False,0,0.62,0,0.5,0.7,0.0,1.0,0.0,0.0
63,0,ICU model (LG+imputed),False,0,0.63,0,0.5,0.7,0.0,1.0,0.0,0.0
64,0,ICU model (LG+imputed),False,0,0.64,0,0.5,0.7,0.0,1.0,0.0,0.0
65,0,ICU model (LG+imputed),False,0,0.65,0,0.5,0.7,0.0,1.0,0.0,0.0
66,0,ICU model (LG+imputed),False,0,0.66,0,0.5,0.7,0.0,1.0,0.0,0.0
67,0,ICU model (LG+imputed),False,0,0.67,0,0.5,0.7,0.0,1.0,0.0,0.0
68,0,ICU model (LG+imputed),False,0,0.68,0,0.5,0.7,0.0,1.0,0.0,0.0
69,0,ICU model (LG+imputed),False,0,0.6900000000000001,0,0.5,0.7,0.0,1.0,0.0,0.0
70,0,ICU model (LG+imputed),False,0,0.7000000000000001,0,0.5,0.7,0.0,1.0,0.0,0.0
71,0,ICU model (LG+imputed),False,0,0.71,0,0.5,0.7,0.0,1.0,0.0,0.0
72,0,ICU model (LG+imputed),False,0,0.72,0,0.5,0.7,0.0,1.0,0.0,0.0
73,0,ICU model (LG+imputed),False,0,0.73,0,0.5,0.7,0.0,1.0,0.0,0.0
74,0,ICU model (LG+imputed),False,0,0.74,0,0.5,0.7,0.0,1.0,0.0,0.0
75,0,ICU model (LG+imputed),False,0,0.75,0,0.5,0.7,0.0,1.0,0.0,0.0
76,0,ICU model (LG+imputed),False,0,0.76,0,0.5,0.7,0.0,1.0,0.0,0.0
77,0,ICU model (LG+imputed),False,0,0.77,0,0.5,0.7,0.0,1.0,0.0,0.0
78,0,ICU model (LG+imputed),False,0,0.78,0,0.5,0.7,0.0,1.0,0.0,0.0
79,0,ICU model (LG+imputed),False,0,0.79,0,0.5,0.7,0.0,1.0,0.0,0.0
80,0,ICU model (LG+imputed),False,0,0.8,0,0.5,0.7,0.0,1.0,0.0,0.0
81,0,ICU model (LG+imputed),False,0,0.81,0,0.5,0.7,0.0,1.0,0.0,0.0
82,0,ICU model (LG+imputed),False,0,0.8200000000000001,0,0.5,0.7,0.0,1.0,0.0,0.0
83,0,ICU model (LG+imputed),False,0,0.8300000000000001,0,0.5,0.7,0.0,1.0,0.0,0.0
84,0,ICU model (LG+imputed),False,0,0.84,0,0.5,0.7,0.0,1.0,0.0,0.0
85,0,ICU model (LG+imputed),False,0,0.85,0,0.5,0.7,0.0,1.0,0.0,0.0
86,0,ICU model (LG+imputed),False,0,0.86,0,0.5,0.7,0.0,1.0,0.0,0.0
87,0,ICU model (LG+imputed),False,0,0.87,0,0.5,0.7,0.0,1.0,0.0,0.0
88,0,ICU model (LG+imputed),False,0,0.88,0,0.5,0.7,0.0,1.0,0.0,0.0
89,0,ICU model (LG+imputed),False,0,0.89,0,0.5,0.7,0.0,1.0,0.0,0.0
90,0,ICU model (LG+imputed),False,0,0.9,0,0.5,0.7,0.0,1.0,0.0,0.0
91,0,ICU model (LG+imputed),False,0,0.91,0,0.5,0.7,0.0,1.0,0.0,0.0
92,0,ICU model (LG+imputed),False,0,0.92,0,0.5,0.7,0.0,1.0,0.0,0.0
93,0,ICU model (LG+imputed),False,0,0.93,0,0.5,0.7,0.0,1.0,0.0,0.0
94,0,ICU model (LG+imputed),False,0,0.9400000000000001,0,0.5,0.7,0.0,1.0,0.0,0.0
95,0,ICU model (LG+imputed),False,0,0.9500000000000001,0,0.5,0.7,0.0,1.0,0.0,0.0
96,0,ICU model (LG+imputed),False,0,0.96,0,0.5,0.7,0.0,1.0,0.0,0.0
97,0,ICU model (LG+imputed),False,0,0.97,0,0.5,0.7,0.0,1.0,0.0,0.0
98,0,ICU model (LG+imputed),False,0,0.98,0,0.5,0.7,0.0,1.0,0.0,0.0
99,0,ICU model (LG+imputed),False,0,0.99,0,0.5,0.7,0.0,1.0,0.0,0.0
100,0,ICU model (LG+imputed),False,0,1.0,0,0.5,0.7,0.0,1.0,0.0,0.0
101,0,ICU model (LG+imputed) Train,False,0,0.0,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
102,0,ICU model (LG+imputed) Train,False,0,0.01,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
103,0,ICU model (LG+imputed) Train,False,0,0.02,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
104,0,ICU model (LG+imputed) Train,False,0,0.03,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
105,0,ICU model (LG+imputed) Train,False,0,0.04,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
106,0,ICU model (LG+imputed) Train,False,0,0.05,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
107,0,ICU model (LG+imputed) Train,False,0,0.06,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
108,0,ICU model (LG+imputed) Train,False,0,0.07,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
109,0,ICU model (LG+imputed) Train,False,0,0.08,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
110,0,ICU model (LG+imputed) Train,False,0,0.09,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
111,0,ICU model (LG+imputed) Train,False,0,0.1,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
112,0,ICU model (LG+imputed) Train,False,0,0.11,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
113,0,ICU model (LG+imputed) Train,False,0,0.12,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
114,0,ICU model (LG+imputed) Train,False,0,0.13,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
115,0,ICU model (LG+imputed) Train,False,0,0.14,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
116,0,ICU model (LG+imputed) Train,False,0,0.15,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
117,0,ICU model (LG+imputed) Train,False,0,0.16,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
118,0,ICU model (LG+imputed) Train,False,0,0.17,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
119,0,ICU model (LG+imputed) Train,False,0,0.18,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
